Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Products,1,1351,1351,1351,1351,1351,1351,1351,0.000%,.74019,32.81,0.09
Get Single  Product,1,307,307,307,307,307,307,307,0.000%,3.25733,8.39,0.40
Search  Product,1,313,313,313,313,313,313,313,0.000%,3.19489,120.48,0.43
Limit & Skip Product,1,298,298,298,298,298,298,298,0.000%,3.35570,5.63,0.52
Sort  Product,1,313,313,313,313,313,313,313,0.000%,3.19489,153.52,0.46
Get all Product Categories,1,301,301,301,301,301,301,301,0.000%,3.32226,11.82,0.43
Get Product Category list,1,307,307,307,307,307,307,307,0.000%,3.25733,4.68,0.44
Get Product Category,1,307,307,307,307,307,307,307,0.000%,3.25733,86.66,0.46
Add New Product,1,207,207,207,207,207,207,207,0.000%,4.83092,5.33,1.00
Update  Product,1,207,207,207,207,207,207,207,0.000%,4.83092,7.91,1.01
Delete  Product,1,208,208,208,208,208,208,208,0.000%,4.80769,12.62,0.99
TOTAL,11,374,307,313,313,1351,207,1351,0.000%,2.66408,41.49,0.41
